Rank,Pos,ID,Name,Team,Opp,Comp,Yards,TD,Int,Att,Yards,TD,Rec,Yards,TD,Fantasy Points
231,WR,14125,"Boykin, Miles",BAL,MIA,0,0,0,0,0.09,0,0,1.86,21,0.11,5
232,TE,13236,"Everett, Gerald",LAR,CAR,0,0,0,0,0.13,1,0,1.73,18,0.09,5
233,TE,13819,"Thomas, Jordan",HOU,NOS,0,0,0,0,0,0,0,1.85,21,0.22,5
234,WR,10734,"Wright, Jarius",CAR,LAR,0,0,0,0,0.19,1,0,2.15,24,0.02,5
235,TE,10398,"Smith, Lee",BUF,NYJ,0,0,0,0,0,0,0,0.89,23,0.28,5
236,WR,14116,"Hurd, Jalen",SFO,TBB,0,0,0,0,0.06,0,0,1.33,37,0,5
237,TE,12680,"Vannett, Nick",SEA,CIN,0,0,0,0,0,0,0,2.08,19,0.22,5
238,TE,13722,"Jarwin, Blake",DAL,NYG,0,0,0,0,0,0,0,2.07,22,0.17,5
239,WR,12188,"Dorsett, Phillip",NEP,PIT,0,0,0,0,0.03,0,0,1.54,16,0.23,5
240,RB,12264,"Zenner, Zach",DET,ARI,0,0,0,0,5.43,21,0.16,0.99,7,0,5
241,RB,12629,"Booker, Devontae",DEN,OAK,0,0,0,0,3.45,16,0.04,2.17,16,0,5
242,WR,13664,"Quinn, Trey",WAS,PHI,0,0,0,0,0.2,1,0,2.26,24,0.03,5
243,RB,12632,"Dixon, Kenneth",BAL,MIA,0,0,0,0,5.62,27,0.07,0.95,8,0,5
244,WR,14123,"Renfrow, Hunter",OAK,DEN,0,0,0,0,0.03,0,0,2.17,21,0.02,4
245,WR,12645,"Treadwell, Laquon",MIN,ATL,0,0,0,0,0,0,0,1.66,15,0.01,4
246,RB,13611,"Adams, Josh",PHI,WAS,0,0,0,0,6.7,27,0.12,0.31,3,0,4
247,WR,11225,"Patterson, Cordarrelle",CHI,GBP,0,0,0,0,2.09,12,0.05,0.92,10,0.1,4
248,WR,12257,"Conley, Chris",JAC,KCC,0,0,0,0,0,0,0,1.29,15,0.12,4
